Step,APP,Action,Reward
651,0,0,-20
652,5,2,-1.5015015015
653,0,1,-94.85166124210005
654,0,2,-9.061133849900001
655,0,1,-94.42366649070007
656,0,2,-1.0810810811
657,0,2,-1.0810810811
658,3,1,-93.07028561920006
659,4,2,-2.7027027027
660,0,2,-1.0810810811
661,0,0,-136.7652666667
662,4,1,-20
663,5,2,-1.5015015015
664,5,1,-120
665,0,2,-1.0810810811
666,0,1,-99.35290865840011
667,0,1,-99.42718866700011
668,0,2,-1.0810810811
669,4,2,-2.7027027027
670,0,0,-20
671,5,2,-1.5015015015
672,2,2,-14.1141141141
673,0,2,-1.0810810811
674,5,1,-120
675,0,1,-98.5416133567
676,4,0,-10
677,1,2,-10.8108108108
678,2,1,-100
679,0,2,-4.4842792402
680,0,0,-10
681,1,0,-120
682,0,2,-1.0810810811
683,0,2,-8.8916314118
684,0,2,-1.0810810811
685,0,2,-1.0810810811
686,5,2,-1.5015015015
687,0,2,-1.0810810811
688,0,2,-1.0810810811
689,1,2,-11.530345793
690,0,2,-1.0810810811
691,0,0,-120
692,0,0,-20
693,5,2,-10.626716354200001
694,5,2,-1.5015015015
695,2,2,-14.1141141141
696,0,0,-136.7652666667
697,4,2,-2.7027027027
698,5,1,-120
699,0,1,-89.87130432070009
700,0,2,-1.0810810811
701,0,1,-89.79706252930009
702,2,0,-120
703,0,1,-89.71076814720001
704,0,2,-1.0810810811
705,0,1,-89.5464959365001
706,0,0,-120
707,0,1,-20
708,5,2,-1.5015015015
709,0,2,-11.9392604385
710,4,2,-2.7027027027
711,0,1,-20
712,5,2,-1.5015015015
713,5,1,-120
714,0,2,-1.0810810811
715,2,1,-100
716,4,1,-120
717,0,2,-1.2758913196000006
718,0,1,-96.03883923229998
719,0,2,-1.0810810811
720,0,2,-1.0810810811
721,0,0,-100
722,2,0,-120
723,0,1,-94.41219383039999
724,0,1,-94.35596404009999
725,4,2,-2.7027027027
726,0,1,-93.67793142649998
727,0,0,-136.7652666667
728,3,2,-0.3003003003
729,0,2,-1.2436626978
730,0,2,-1.0810810811
731,0,2,-1.0810810811
732,4,2,-3.2768266865999998
733,4,2,-2.7027027027
734,0,1,-91.5121180481
735,3,0,-93.3643333334
736,0,0,-120
737,0,2,-1.0810810811
738,0,0,-120
739,0,0,-10
740,1,1,-10
741,0,1,-87.9204936395
742,2,2,-14.1141141141
743,0,0,-120
744,0,1,-87.26967849460002
745,0,2,-1.0810810811
746,0,1,-10
747,1,2,-10
748,1,0,-120
749,0,2,-1.0810810811
750,0,2,-1.0810810811
751,2,2,-10
752,1,2,-10.8108108108
753,0,0,-120
754,0,2,-1.0810810811
